latitude,longitude,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,log_(price+1),neighbourhood_group_Bronx,neighbourhood_group_Brooklyn,neighbourhood_group_Manhattan,neighbourhood_group_Queens,neighbourhood_group_Staten Island,room_type_Entire home/apt,room_type_Private room,room_type_Shared room
40.72217,-73.99481,7,3,0.06,3,0,4.795790545596741,0,0,1,0,0,0,1,0
40.8002,-73.96045,1,0,0.01,1,0,7.313886831633462,0,0,1,0,0,1,0,0
40.75558,-73.89316,2,4,4.0,1,365,5.303304908059076,0,0,0,1,0,1,0,0
40.6011,-74.0783,2,0,0.01,4,82,3.4339872044851463,0,0,0,0,1,0,0,1
40.81022,-73.94266,1,16,0.27,1,365,4.7535901911063645,0,0,1,0,0,0,0,1
40.71192,-74.01572,90,1,0.02,1,362,5.420534999272286,0,0,1,0,0,1,0,0
40.65766,-73.72838,1,57,2.41,1,336,4.110873864173311,0,0,0,1,0,1,0,0
40.69064,-73.97898,5,0,0.01,1,0,5.303304908059076,0,1,0,0,0,1,0,0
40.74443,-74.00012,3,35,1.61,2,179,6.478509642208569,0,0,1,0,0,1,0,0
40.8317,-73.9429,30,6,0.15,1,0,5.198497031265826,0,0,1,0,0,1,0,0
40.64469,-73.97086,14,0,0.01,1,0,3.9318256327243257,0,1,0,0,0,0,1,0
40.71591,-73.95513000000003,4,56,2.53,4,8,3.9318256327243257,0,1,0,0,0,0,1,0
40.81619,-73.93798000000002,1,2,0.05,1,0,4.356708826689592,0,0,1,0,0,1,0,0
40.80173,-73.96175,2,40,1.54,2,285,5.929589143389895,0,0,1,0,0,1,0,0
40.76159000000001,-73.99824,2,22,0.64,2,7,4.248495242049359,0,0,1,0,0,0,1,0
40.76704,-73.98345,45,16,0.21,8,0,4.941642422609304,0,0,1,0,0,1,0,0
40.66294,-73.99349000000002,2,48,3.42,2,171,5.135798437050262,0,1,0,0,0,1,0,0
40.71417,-73.94123,3,4,1.32,1,31,4.553876891600541,0,1,0,0,0,1,0,0
40.67299000000001,-73.95804,4,1,0.16,1,0,5.351858133476067,0,1,0,0,0,1,0,0
40.71264,-73.99893,2,12,0.43,2,8,4.394449154672439,0,0,1,0,0,1,0,0
40.63992,-74.0076,1,31,1.08,5,1,3.367295829986474,0,1,0,0,0,0,1,0
40.69629000000001,-73.91351,1,86,7.7,1,198,3.9318256327243257,0,1,0,0,0,0,1,0
40.71258,-73.94306999999998,1,15,2.02,1,16,4.418840607796598,0,1,0,0,0,1,0,0
40.87085,-73.9183,4,19,0.84,1,0,4.0943445622221,0,0,1,0,0,0,1,0
40.72102,-73.94382,2,249,4.84,2,248,4.912654885736052,0,1,0,0,0,1,0,0
40.73154,-73.95485,4,4,0.09,1,0,4.700480365792417,0,1,0,0,0,1,0,0
40.72148,-73.99543,5,150,4.19,1,105,5.68697535633982,0,0,1,0,0,1,0,0
40.68819000000001,-73.97258000000002,35,5,0.05,1,135,4.875197323201151,0,1,0,0,0,1,0,0
40.75608,-73.93048,4,5,0.24,2,0,4.709530201312334,0,0,0,1,0,0,1,0
40.67666,-74.00055,1,62,3.33,2,179,4.23410650459726,0,1,0,0,0,1,0,0
40.66116,-73.94781,5,3,0.27,1,32,4.454347296253507,0,1,0,0,0,0,1,0
40.81652,-73.94914,5,7,2.73,8,335,5.375278407684165,0,0,1,0,0,0,1,0
40.70743,-73.96625,1,26,1.01,2,192,5.41610040220442,0,1,0,0,0,1,0,0
40.76434,-73.92132,4,30,0.32,1,363,4.709530201312334,0,0,0,1,0,1,0,0
40.68048,-73.90786999999997,1,35,2.15,6,155,3.784189633918261,0,1,0,0,0,0,1,0
40.72315,-73.95226,2,20,0.21,2,127,6.2166061010848646,0,1,0,0,0,1,0,0
40.68347,-73.97971,1,201,4.45,4,5,4.290459441148391,0,1,0,0,0,0,1,0
40.74673,-73.97343000000002,1,2,0.05,1,0,4.430816798843313,0,0,1,0,0,1,0,0
40.76245,-73.8238,5,34,1.82,1,353,3.6635616461296463,0,0,0,1,0,0,1,0
40.76182,-73.99771,30,0,0.01,65,360,6.311734809152915,0,0,1,0,0,1,0,0
40.69525,-73.93768,1,0,0.01,1,0,4.61512051684126,0,1,0,0,0,0,1,0
40.74186,-74.00528,2,6,0.14,1,0,5.638354669333745,0,0,1,0,0,1,0,0
40.6854,-73.94614,2,68,2.05,1,48,5.081404364984463,0,1,0,0,0,1,0,0
40.76494,-73.95808000000002,2,4,1.24,1,1,5.420534999272286,0,0,1,0,0,1,0,0
40.71572000000001,-73.99114,2,80,4.01,1,199,5.703782474656201,0,0,1,0,0,1,0,0
40.69122,-73.93495,10,2,0.11,3,31,4.663439094112067,0,1,0,0,0,0,1,0
40.74225,-73.90553,3,55,4.5,1,133,4.983606621708336,0,0,0,1,0,1,0,0
40.7102,-73.96222,2,68,4.54,2,337,4.5217885770490405,0,1,0,0,0,0,1,0
40.75224,-73.96526,3,23,2.36,8,326,6.1092475827643655,0,0,1,0,0,1,0,0
40.56568,-73.87009,1,1,0.09,2,59,5.278114659230517,0,0,0,1,0,0,1,0
40.71801,-73.9943,4,6,4.62,1,299,6.214608098422191,0,0,1,0,0,1,0,0
40.76643,-73.95809,1,2,0.05,1,0,5.017279836814924,0,0,1,0,0,1,0,0
40.59021,-73.94800000000002,1,45,5.74,3,83,4.02535169073515,0,1,0,0,0,0,1,0
40.67981,-73.90606,3,5,1.74,1,18,3.4011973816621555,0,1,0,0,0,0,1,0
40.69625,-73.93696,30,85,2.45,4,232,4.02535169073515,0,1,0,0,0,0,1,0
40.69872,-73.93460999999998,1,18,4.74,2,158,3.912023005428146,0,1,0,0,0,0,1,0
